## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[result/sorted_reads_rg.bam] OUTPUT=result/dedup_reads.bam METRICS_FILE=metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 24 14:08:39 EDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR11801823	3	242273	18852	303	3	104689	0	0.432115	191848

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	0.999998	99116	99116
2.0	1.282848	20742	20742
3.0	1.362852	7728	7728
4.0	1.385481	3548	3548
5.0	1.391882	1938	1938
6.0	1.393692	1136	1136
7.0	1.394204	786	786
8.0	1.394349	525	525
9.0	1.39439	350	350
10.0	1.394402	299	299
11.0	1.394405	206	206
12.0	1.394406	163	163
13.0	1.394406	139	139
14.0	1.394406	96	96
15.0	1.394406	95	95
16.0	1.394406	74	74
17.0	1.394406	54	54
18.0	1.394406	61	61
19.0	1.394406	36	36
20.0	1.394406	43	43
21.0	1.394406	37	37
22.0	1.394406	36	36
23.0	1.394406	29	29
24.0	1.394406	20	20
25.0	1.394406	18	18
26.0	1.394406	22	22
27.0	1.394406	18	18
28.0	1.394406	18	18
29.0	1.394406	18	18
30.0	1.394406	13	13
31.0	1.394406	18	18
32.0	1.394406	7	7
33.0	1.394406	8	8
34.0	1.394406	7	7
35.0	1.394406	11	11
36.0	1.394406	5	5
37.0	1.394406	4	4
38.0	1.394406	10	10
39.0	1.394406	8	8
40.0	1.394406	4	4
41.0	1.394406	7	7
42.0	1.394406	5	5
43.0	1.394406	4	4
44.0	1.394406	8	8
45.0	1.394406	3	3
46.0	1.394406	0	0
47.0	1.394406	1	1
48.0	1.394406	6	6
49.0	1.394406	8	8
50.0	1.394406	2	2
51.0	1.394406	2	2
52.0	1.394406	3	3
53.0	1.394406	4	4
54.0	1.394406	4	4
55.0	1.394406	1	1
56.0	1.394406	7	7
57.0	1.394406	3	3
58.0	1.394406	5	5
59.0	1.394406	0	0
60.0	1.394406	1	1
61.0	1.394406	2	2
62.0	1.394406	2	2
63.0	1.394406	1	1
64.0	1.394406	1	1
65.0	1.394406	2	2
66.0	1.394406	1	1
67.0	1.394406	1	1
68.0	1.394406	3	3
69.0	1.394406	0	0
70.0	1.394406	1	1
71.0	1.394406	1	1
72.0	1.394406	2	2
73.0	1.394406	2	2
74.0	1.394406	1	1
75.0	1.394406	1	1
76.0	1.394406	1	1
77.0	1.394406	2	2
78.0	1.394406	0	0
79.0	1.394406	3	3
80.0	1.394406	1	1
81.0	1.394406	0	0
82.0	1.394406	2	2
83.0	1.394406	1	1
84.0	1.394406	1	1
85.0	1.394406	2	2
86.0	1.394406	0	0
87.0	1.394406	2	2
88.0	1.394406	2	2
89.0	1.394406	0	0
90.0	1.394406	0	0
91.0	1.394406	1	1
92.0	1.394406	0	0
93.0	1.394406	1	1
94.0	1.394406	0	0
95.0	1.394406	0	0
96.0	1.394406	0	0
97.0	1.394406	1	1
98.0	1.394406	1	1
99.0	1.394406	1	1
100.0	1.394406	0	0
102.0	0	1	1
104.0	0	1	1
106.0	0	1	1
114.0	0	1	1
117.0	0	1	1
124.0	0	3	3
133.0	0	1	1
134.0	0	1	1
140.0	0	2	2
144.0	0	1	1
145.0	0	1	1
149.0	0	1	1
169.0	0	1	1
171.0	0	1	1
172.0	0	1	1
176.0	0	1	1
187.0	0	1	1
210.0	0	1	1

